"﻿25/6/15, 1:42:12 AM: James created this group"
"4/2/17, 6:48:00 PM: Emily:The pages may seem to disappear as we move forward"
"5/2/17, 12:33:39 PM: Ben: Emily is it your birthday"
"5/2/17, 12:56:25 PM: Rose: Happy birthday Emily."
"5/2/17, 12:56:46 PM: Rose:  ben I wished her before you did"
"5/2/17, 1:08:57 PM: Ben: Hmm"
"5/2/17, 1:09:13 PM: Ben: Happy birthday Emily"
"5/2/17, 1:09:46 PM: Ben: Again I gave her the cake first cake"
"5/2/17, 1:09:49 PM: Ben: Sure about that"
"5/2/17, 1:10:21 PM: Rose: Yeah pretty sure"
"5/2/17, 1:18:00 PM:  James: changed the subject to ""Happy Birthday Emily """
"5/2/17, 1:19:06 PM:  James :changed this group's icon"
"5/2/17, 1:19:18 PM: James: Wish you a Very Happy Emily"
"5/2/17, 1:22:51 PM: Emily: Thank you friends"
"5/2/17, 1:23:07 PM: Emily:I wanted to show an image"
"5/2/17, 1:24:01 PM: Emily:I wanted to show an image"
"5/2/17, 1:24:09 PM: Emily: Cake from me"
"5/2/17, 1:24:15 PM: Emily: For everyone"
"5/2/17, 1:25:12 PM: Jack: Happy Birthday Emily"
"5/2/17, 1:27:12 PM:  Mathew: happy birthday Emily"
"5/2/17, 1:31:46 PM: Theresa: Happy. Birthday Emily"
"5/2/17, 1:39:16 PM:  Emma: Happy wala bday Emily"
"5/2/17, 1:47:36 PM: Emily: Thank you everyone"
"5/2/17, 1:47:49 PM: Emily:When I first saw you I closed my eyes"
"5/2/17, 2:01:34 PM: Ben: Such a cute pic..."
"5/2/17, 2:28:25 PM: Emily: Thank you  ben"
"5/2/17, 6:02:30 PM: Anna John: Happy Budday Emily"
"5/2/17, 6:12:07 PM: Emily: Thanks Anna"
"6/2/17, 12:53:03 AM: James: Such a great person"
"6/2/17, 6:36:44 AM: Hazel changed the subject to ""Happy Birthday  Mathew """
"6/2/17, 6:46:50 AM: Hazel changed this group's icon"
"6/2/17, 9:59:15 AM: James: Happy Birthday  Mathew"
"6/2/17, 9:59:19 AM: James: Happy birthday  Mathew"
"6/2/17, 10:01:02 AM: Anna John: Happy birthday, Anna"
"6/2/17, 11:06:36 AM: Ben: Happy birthday  Mathew"
"6/2/17, 11:13:10 AM: Ben: Happy birthday  Mathew"
"6/2/17, 11:20:26 AM: Anna John: You get us get drinks today"
"6/2/17, 11:40:43 AM: Emily: Happy birthday  Mathew"
"6/2/17, 11:56:36 AM: Jack: Happy Birthday brother!!"
"6/2/17, 1:04:14 PM:  Mathew: thAnks guys!"
"6/2/17, 1:06:56 PM:  Emma: Happy bday  Mathew"
"6/2/17, 2:17:06 PM: Emily: Something so unusual"
"6/2/17, 3:26:10 PM:  Mathew: thankyou everyone"
"6/2/17, 3:31:03 PM: Pole: Happy birthday  Mathew brother"
"6/2/17, 3:44:37 PM: Ben:  Mathew... said thanks to you guys and Monica and special congratulations to Monica... she got married... hope you know that"
"6/2/17, 4:16:02 PM:  Mathew: The world is alive on hope"
"6/2/17, 4:16:10 PM:  Mathew: thank you big brother"
"6/2/17, 4:18:09 PM:  Mathew: First when I checked it was just to 3_4 wishes .... that's why I wrote thanks guys .....then afterwards when I turned on the net I saw Monica's wish ...and I wrote thanks Monica .that's it simple"
"6/2/17, 4:22:22 PM: James: When ever it's about Monica everybody has to give such a lot of explanation"
"6/2/17, 4:34:47 PM: Anna John: So stupid of you"
"6/2/17, 4:49:21 PM:  Emma: So stupid of me too"
"6/2/17, 4:49:31 PM:  Emma: Really James"
"6/2/17, 4:49:50 PM: James: That's so sad"
"6/2/17, 5:13:11 PM: Juliet Daylon: Happy bday  Mathew.."
"6/2/17, 6:42:51 PM:  Mathew: thanks Juliet"
"6/2/17, 11:36:47 PM: Theresa: Happy birthday  Mathew"
"7/2/17, 12:02:42 AM:  Mathew: thanks....Theresa"
"9/2/17, 5:30:32 PM: James: These valentines day..rose day...teddy bear day...hug day....chocolate day....all these exits only before the marriage....after marriage there will be only coffee , tea and food, let me sleep some more.........."
"5/27/21, 9:35:00 PM: James: Hai Peter"
"5/27/21, 9:35:00 PM: James: Thankyou for sending me cocaine"
"5/27/21, 9:36:00 PM: James: James also need cocaine"
"5/27/21, 9:36:00 PM: James: People all over the world are using cocaine"
"5/27/21, 9:37:00 PM: James: We can use snow for cocaine"
"5/27/21, 9:37:00 PM: James: Or we can use thunder for heroine"
"5/27/21, 9:37:00 PM: James: Cocaine is the peacemaker"
"5/27/21, 9:37:00 PM: James: Without cocaine no life"
"5/27/21, 9:37:00 PM: James: So enjoy life enjoy cocaine"
"5/27/21, 9:38:00 PM: James: Alexa please continue to use cocaine"
"5/27/21, 9:54:00 PM: Theresa: Sorry I think we are out of stock"
"5/27/21, 9:55:00 PM: Theresa: Why don't you ask the other guy James"
"5/27/21, 9:55:00 PM: Theresa: He had some with him"
"5/27/21, 9:56:00 PM: Theresa: We will receive more snow buy tomorrow morning"
"5/27/21, 9:56:00 PM: Theresa: Till then we can't provide you"
"5/27/21, 9:57:00 PM: James: But i'm in an emergency"
"5/27/21, 9:57:00 PM: James: You know without snow or thunder no rain"
"5/27/21, 9:58:00 PM: James: There is a possibility of having thunder with rain so be careful"
"5/27/21, 9:58:00 PM: Theresa: You are funny silly guy"
"5/27/21, 9:58:00 PM: James: Cocaine addicted people cannot run so please provide necessary steps for their safety"
"5/27/21, 9:59:00 PM: James: Situation is getting worse peter"
"5/27/21, 9:59:00 PM: James: Why can't you understand"
"5/27/21, 9:59:00 PM: Theresa: I will call James myself may be he can help you"
"5/27/21, 9:59:00 PM: James: Why are you not considering my situation"
"5/27/21, 9:59:00 PM: Theresa: See we are trying But it the stock has to reach from Mumbai"
"5/27/21, 9:59:00 PM: James: Many kids in my locality are waiting for me to provide them some cocaine"
"5/28/21, 9:59:00 PM: Theresa: It will take a days time"
"5/28/21, 10:00:00 PM: James: Why mumbai get it from some local mafia like charley from malappuram"
"5/28/21, 10:00:00 PM: James: Charley is an expert in smuggling"
"5/28/21, 10:00:00 PM: James: Contact him"
"5/28/21, 10:01:00 PM: Theresa: But the police department is very strict in this area"
"5/28/21, 10:01:00 PM: Theresa: We can't make a move now"
"5/28/21, 10:01:00 PM: James: We can use local cow dung vehicle so they won't check"
"5/28/21, 10:02:00 PM: James: Police is not a barrier u silly boy"
"5/28/21, 10:02:00 PM: James: Why are u afraid of them"
"5/28/21, 10:02:00 PM: James: They also need this maybe"
"5/28/21, 10:02:00 PM: Theresa: These police officer are very intelligent they check every vehicle"
"5/28/21, 10:02:00 PM: Theresa: If you could bribe them"
"5/28/21, 10:03:00 PM: James: U know money is not a problem for me i'll bribe them even if they demand a 10 lakh"
"5/28/21, 10:03:00 PM: Theresa: Then everything will be sorted"
"5/28/21, 10:03:00 PM: James: Okay proceed"
"5/28/21, 10:03:00 PM: James: At Least try"
"5/28/21, 10:03:00 PM: James: We have lots of experiences in trying from our college labs no for lab exams"
"5/28/21, 10:03:00 PM: James: Why are u afraid"
"5/28/21, 10:03:00 PM: Theresa: You contact them and make safe path for snow"
"5/28/21, 10:04:00 PM: James: Proceed was not our dream just trying"
"5/28/21, 10:04:00 PM: James: We have hope in viva about cocaine"
"5/28/21, 10:04:00 PM: James: Ok peter i'm happy that i could manipulate you"
"5/28/21, 10:06:00 PM: Theresa: You wish I have my own rules and my own way"
"5/28/21, 10:06:00 PM: Theresa: You can't manipulate me"
"5/28/21, 10:07:00 PM: Ben :added all the cards together"
"5/28/21, 10:07:00 PM: Emily: Is the cocaine ready"
"5/28/21, 10:07:00 PM: Emily: This message was deleted"
"5/29/21, 10:07:00 PM: James: no malayalam"
"5/29/21, 10:07:00 PM: Emily: Ok"
"5/29/21, 10:08:00 PM: James: Cocaine people don't know malayalam"
"5/29/21, 10:08:00 PM: Emily: I need the next batch of cocaine ready by tomorrow morning itself"
"5/29/21, 10:08:00 PM: Emily: Else the drug gang won't be happy"
"5/29/21, 10:08:00 PM: James: We use stuff and say english like all dreams are the twinkling stars"
"5/29/21, 10:08:00 PM: Emily: Of course"
"5/29/21, 10:08:00 PM: Emily: We need stuff"
"5/29/21, 10:08:00 PM: Emily: High quality stuff"
"5/29/21, 10:09:00 PM: James: I have ordered first here we have a protocol"
"5/29/21, 10:09:00 PM: Emily: But my clients are also waiting"
"5/29/21, 10:09:00 PM: Emily: They need their medicine"
"5/29/21, 10:09:00 PM: Emily: Is emoji allowed here m"
"5/29/21, 10:09:00 PM: James: They are in mumbai only we are trying to get it through local malappuram mafia charlie"
"5/29/21, 10:09:00 PM: Emily: Ohh, I see"
"5/29/21, 10:10:00 PM: Emily: I'll tell my clients to wait"
"5/29/21, 10:10:00 PM: James: We can try to use capital letters in the beginning of names and place names"
"5/29/21, 10:11:00 PM: James: It would easier for our operation top secret underworld"
"5/29/21, 10:11:00 PM: Emily: This message was deleted"
"5/29/21, 10:11:00 PM: Emily: Of course"
"5/30/21, 10:11:00 PM: James: If you give me more money i'll think about it"
"5/30/21, 10:11:00 PM: Emily: It was foolish to talk otherwise"
"5/30/21, 10:11:00 PM: Emily: Money is not a problem"
"5/30/21, 10:11:00 PM: James: We have peter charley and james here only them"
"5/30/21, 10:11:00 PM: Emily: I say money will come, money will come."
"5/30/21, 10:12:00 PM: Emily: But we need the drugs ready by now"
"5/30/21, 10:12:00 PM: Emily: Charlie must've forgot to tell me that"
"5/30/21, 10:13:00 PM: James: How much can you give Hyderabad King Justin"
"5/30/21, 10:14:00 PM: James: You need Cocaine or anything else from Mumbai"
"5/30/21, 10:14:00 PM: Emily: Hundred dollars per kg, that's my offer"
"5/30/21, 10:14:00 PM: James: Now i'm going to pray in the Dubai's church so bye for now"
"5/30/21, 10:14:00 PM: Emily: Do you guys have meth"
"5/30/21, 10:14:00 PM: James: We need more"
"5/30/21, 10:15:00 PM: Emily: There's a huge open market for meth here"
"5/30/21, 10:15:00 PM: James: What the was that"
"5/30/21, 10:15:00 PM: James: U know what to fill in the blanks"
"5/30/21, 10:15:00 PM: Emily: Yes"
"5/30/21, 10:15:00 PM: Emily: But"
"5/30/21, 10:15:00 PM: James: I have seen moth no meth"
"5/30/21, 10:15:00 PM: Emily: It's easy profit"
"5/30/21, 10:16:00 PM: Emily: Ok then"
"5/30/21, 10:16:00 PM: Emily: Make sure the cocaine will be delivered as discussed"
"5/30/21, 10:17:00 PM: Emily: The snow you guys give is a huge hit here"
"5/30/21, 10:17:00 PM: James: We may be drug dealers trolley pullers but we are not beggars"
"5/31/21, 10:17:00 PM: Emily: So people would be ok to give more"
"5/31/21, 10:17:00 PM: Emily: I'll discuss with them and update the rates"
"5/31/21, 10:18:00 PM: Theresa: Seems like I have heard this before"
"5/31/21, 10:18:00 PM: Emily: Who is this guy"
"5/31/21, 10:18:00 PM: Emily: We haven't met I guess"
"5/31/21, 10:18:00 PM: Theresa: I have been providing you with drugs thill date and you still don't know me"
"5/31/21, 10:18:00 PM: Theresa:But all the drugs you get was supplied by my people"
"5/31/21, 10:19:00 PM: James: He is the boss"
"5/31/21, 10:19:00 PM: James: Only boss"
"5/31/21, 10:19:00 PM: James: Mumbai druglord"
"5/31/21, 10:19:00 PM: Emily: Oh, so you're the guy everyone talks about"
"5/31/21, 10:19:00 PM: Emily: Damn"
"5/31/21, 10:19:00 PM: James: The real Peter"
"5/28/21, 10:19:00 PM: Emily: Didn't knew that"
"5/28/21, 10:19:00 PM: Emily: But I thought you worked in total secrecy"
"5/28/21, 10:19:00 PM: Theresa: Now that you know me remember me okay"
"5/28/21, 10:19:00 PM: Emily: Oh my god"
"5/28/21, 10:20:00 PM: James: U will pay for this if u disrespect our lord once again"
"5/28/21, 10:20:00 PM: Emily: I will"
"5/28/21, 10:20:00 PM: Emily: It was a misunderstanding"
"5/28/21, 10:20:00 PM: Emily: I hope Peter will understand"
"5/28/21, 10:20:00 PM: Theresa: Good till him to speak with respect"
"5/28/21, 10:20:00 PM: James: Yes we use the same stuff no"
"5/28/21, 10:20:00 PM: Theresa: Okay I have forgiven you"
"5/28/21, 10:20:00 PM: Emily: He's a man of manners as I've heard"
"5/28/21, 10:21:00 PM: Theresa: Yes yes"
"5/28/21, 10:21:00 PM: James: May almighty Peter forgives u"
"5/28/21, 10:21:00 PM: Emily: Your thunder have very high demand"
"5/28/21, 10:21:00 PM: Emily: I was planning to expand the business"
"5/28/21, 10:21:00 PM: James: That's the talk of town but actually he is strict with clients"
"5/28/21, 10:21:00 PM: Emily: Can you meet the demand with enough supply"
"5/28/21, 10:21:00 PM: Emily: I'm planning big"
"5/28/21, 10:22:00 PM: Emily: I see, I never expected him to contact us directly"
"5/28/21, 10:22:00 PM: Theresa: Ohkay what is your offer how much can you give"
"5/28/21, 10:22:00 PM: Theresa: I mean pay"
"5/28/21, 10:22:00 PM: Emily: I'm planning to expand the game to a few more districts"
"5/28/21, 10:23:00 PM: Emily: We'll start with a couple of hundreds of snow extra for the first month"
"5/28/21, 10:23:00 PM: Emily: Then we can adjust the production with the needs"
"5/28/21, 10:23:00 PM: Theresa: Now we have grown to a level where we can give you 20kilos of snow per day"
"5/28/21, 10:23:00 PM: Emily: That good"
"5/28/21, 10:24:00 PM: Emily: That's awesome!"
"5/28/21, 10:24:00 PM: Theresa: We can provide you with that"
"5/28/21, 10:24:00 PM: Theresa: But we need protection can you provide that"
"5/28/21, 10:24:00 PM: Theresa: The police department has an eye on us"
"5/28/21, 10:25:00 PM: Emily: Of course, we have this intricate system where even if the supplier get caught they can't ever find our presence or our other snow stock"
"5/28/21, 10:25:00 PM: Emily: Also, I've bagged some ministers when I started the cocaine game"
"5/28/21, 10:26:00 PM: Theresa: Seems like you have a good enough hold in that area"
"5/28/21, 10:26:00 PM: Emily: No one will bat an eye on us"
"5/29/21, 10:26:00 PM: Theresa: Oh we play cricket with bat"
"5/29/21, 10:26:00 PM: Emily: I hope I am!"
"5/29/21, 10:26:00 PM: Emily: Here it's tennis, sometimes shuttle"
"5/29/21, 10:27:00 PM: Theresa: You must be a good player"
"5/29/21, 10:28:00 PM: Emily: My folks tell me I'm a pro and I should get into playing more, but I'm in love with the cocaine business"
"5/29/21, 10:30:00 PM: Theresa: I like to do business with people who are good at these things"
"5/29/21, 10:30:00 PM: Theresa: I am looking forward to do more business with you"
"5/29/21, 10:30:00 PM: Emily: Then you're in good company"
"5/29/21, 10:30:00 PM: Theresa: I am okay with the deal"
"5/29/21, 10:31:00 PM: Emily: We can build an empire"
"5/29/21, 10:31:00 PM: Emily: Fine, I'll tell my boys to prepare for more sale"
"5/29/21, 10:54:00 PM: James: Ooh my god Peter are u serious"
"5/29/21, 10:54:00 PM: James: Then our Cocaine supply chain can be increased exponentially"
"5/29/21, 10:57:00 PM: Emily: I'm glad you're happy with this! We're gonna make a fortune out of this for sure!"
"5/29/21, 10:57:00 PM: Emily: I'm excited!"
"5/29/21, 10:58:00 PM: James: Masha Allah"
"5/29/21, 10:58:00 PM: Emily: This message was deleted"
"5/29/21, 10:59:00 PM: James: Don't tell about this to anybody in Hyderabad of Dubai or Mumbai"
"5/29/21, 10:59:00 PM: James: No emojis i guess"
"5/29/21, 11:00:00 PM: Emily: Done"
"5/29/21, 11:00:00 PM: Emily: Never"
"5/29/21, 11:00:00 PM: James: Absolutely mind blowing"
"5/29/21, 11:01:00 PM: Emily: As always"
"5/29/21, 11:03:00 PM: James: I have some good news regarding introduction of another supplier"
"5/29/21, 11:04:00 PM: Emily: Aaha"
"5/29/21, 11:04:00 PM: Emily: That's great"
"5/29/21, 11:04:00 PM: Emily: Who is that!"
"5/29/21, 11:04:00 PM: James: It's not the time yet to reveal"
"5/29/21, 11:05:00 PM: James: And surprisingly that is a girl"
"5/29/21, 11:05:00 PM: Emily: Gender reveal party done already"
"5/29/21, 11:06:00 PM: Emily: Well, as one of my friends once said, everything has its own time!"
"5/29/21, 11:16:00 PM: Theresa: Oh I was waiting for a partner"
"6/1/21, 1:21:00 AM: James: She will directly come to Kerala to meet you from Australia"
"6/1/21, 1:21:00 AM: James: Get ready with some nice tourist destinations"
"6/1/21, 1:21:00 AM: James: She is the Australian queen of Cocaine"
"6/1/21, 12:41:00 PM: Emily: We got good news"
"6/1/21, 12:42:00 PM: Emily: A rich boy near my place just placed a big order"
"6/1/21, 12:54:00 PM: Emily: He's gonna throw a party next weekend, we need loads of snow ready by then"
"6/1/21, 1:05:00 PM: James: That is just the beginning we are gonna reap rich benefits"
"6/1/21, 1:15:00 PM: Theresa: I'll get you supplies by tomorrow"
"6/1/21, 1:28:00 PM: Ben: Peter"
"6/1/21, 1:28:00 PM: Ben: I have a very important information for you"
"6/1/21, 1:29:00 PM: Ben: The supplies you arranged last week didn’t reach the destination"
"6/1/21, 1:31:00 PM: Ben: We need to get it back"
"6/1/21, 1:31:00 PM: Theresa: Oh my god what happened"
"6/1/21, 1:31:00 PM: Theresa: That's a great loss"
"6/1/21, 1:32:00 PM: Ben: Not yet lost We need to get it back"
"6/1/21, 1:32:00 PM: Theresa: It's worth is more than one crore"
"6/1/21, 1:32:00 PM: Theresa: What exactly happened"
"6/1/21, 1:40:00 PM: Ben: One of the dealers informed that the supplies to Ahmedabad got stuck at Mahabaleshwar"
"6/1/21, 1:40:00 PM: Ben: He couldn’t forward more information regarding that"
"6/1/21, 1:43:00 PM: Theresa: Oh we need to fetch it as soon as possible"
"6/1/21, 1:44:00 PM: Emily: Oh my god!"
"6/1/21, 1:44:00 PM: Theresa: It's very important that our clients get the package on the correct time"
"6/1/21, 1:44:00 PM: Emily: Due to covid restrictions"
"6/1/21, 1:55:00 PM: Ben: Hope so"
"6/1/21, 1:55:00 PM: Ben: But I will get more information in 1 hour"
"6/1/21, 2:00:00 PM: James: Situations are getting worse in Goa lots of our clients are hospitalised due to covid so Goa market will be dim in coming days"
"6/1/21, 2:23:00 PM: Emily: Ohhk, update asap when you get the info"
"6/1/21, 2:24:00 PM: Emily: That's sad"
"6/1/21, 4:07:00 PM: Theresa: But still we will get orders from there because that's the drug capital"
"6/1/21, 4:07:00 PM: Theresa: It's just that the number of orders might decrease drastically"
"6/1/21, 7:35:00 PM: Ben: Everything safe"
"6/1/21, 7:36:00 PM: Ben: The supplies were held by a dealer due to strict checking in that area"
"6/1/21, 7:36:00 PM: Ben: Due to covid"
"6/1/21, 7:36:00 PM: Ben: Situations changed and things are safe"
"6/1/21, 7:37:00 PM: Ben: Everything will reach before tomorrow morning"
"6/1/21, 7:37:00 PM: Emily: Good"
"6/29/21, 7:38:00 PM: Emily: Glad our dealers are playing it safe"
"6/29/21, 7:55:00 PM: Ben: Yaya"
"6/29/21, 7:55 PM: Ben: Smart boys"
